Annopol|0383142|0383136
Bemowo|0919890|0988780
Białołęka|0919341|0988796
Bielany|0920054|0988804
Bobrowa|0730678|0730661
Brzezinki|0618763|0618757
Brzeziny|0197698|0197681
Bągart|0148910|0148903
Chmielowszczyzna|0041944|0041938
Chotomów|0002980|0002973
Chreptowce|0033146|0033130
Dobromil|0023320|0023314
Droblin|0014597|0014574
Dzięcielec|0996407|0167214
Dębina|0104774|0104768
Dębowica|0692848|0692831
Fiukówka|0677056|0677040
Glińsk|0914958|0914941
Gnieszowice|0796559|0796542
Gołębie|0886831|0886825
Gościkowo|0914993|0914970
Gregorowce|0038149|0038132
Groszkowo|0158882|0158876
Grzymkowice|0723537|0723520
Gułów|0667980|0667951
Gwizdów|0799635|0799629
Horodnianka|0043535|0043529
Hruszew|0017450|0017443
Husynne|0102545|0102516
Jabłeczna|0019459|0019442
Jasieniec|0188050|0188044
Jawor Solecki|0636376|0636353
Jeleniec|0689355|0689326
Kalety|1042153|0197801
Kalinówka Kościelna|0032052|0032046
Kamionka|0097531|0097525
Kawęczyn|0738786|0738770
Kierzków|0689421|0689415
Kij|0689450|0689438
Kizielewszczyzna|0030403|0030395
Klejwy|0768110|0768103
Kobyle|0105584|0105561
Kolembrody|0014172|0014166
Konstantynów|0014462|0014456
Koroszczyn|0020706|0020681
Kownatki|0679664|0679658
Kownatki|0679670|0679658
Kościaszyn|0886914|0886908
Kożyno|0023580|0023550
Krasnogliny|0390604|0390596
Krzemień-Zagacie|0672780|0672774
Kuligowo|0184075|0184052
Laski|0521182|0521176
Leszno|0004469|0004452
Leśnica|0719151|0719116
Linówek|0097413|0097407
Lipowa|0993188|0097459
Majdan Kozłowiecki|0384644|0384638
Makowlany|0039189|0039172
Marynopole|0792188|0792165
Miodary|0874199|0874182
Mniszek|0792202|0792194
Mokotów|0918407|0918130
Motylewo|0178695|0178689
Niedźwiadka|0689585|0689562
Nietoperek|0184193|0184170
Nietoperek|0184201|0184170
Nowa Wieś|0158630|0158623
Nowa Wieś|0506691|0506679
Nowa Wieś Grodziska|0366391|0366385
Nowe Dzieduszyce|0188357|0188340
Ochota|0918695|0918643
Oleksin|0024785|0024779
Opatówiec|0576823|0576817
Osiek|0561595|0561589
Ostrowite|0864657|0864640
Pawłów|0811709|0811690
Pieski|0184224|0184218
Pogórze|0491498|0491469
Poniatowice|0879185|0879162
Popławy|0999328|0024905
Praga-Południe|1061239|0918838
Praga-Północ|1061245|0919298
Proboszczowice|0222700|0222686
Przybyłów|0197646|0197630
Radostynia|0491529|0491512
Radzowice|0197149|0197132
Rajsk|0023828|0023811
Raków|0363228|0363211
Raszówka|1004508|0365351
Rańsko|0186111|0186105
Rembertów|0919111|0988810
Role|0679865|0679842
Rydzynki|0554170|0554164
Sahryń|0905149|0905132
Serock|0380681|0380669
Siedliszcze|0107850|0107821
Sikórz|0561135|0561106
Sikórz|0561129|0561106
Sobibór|0109837|0109814
Sokołowice|0879245|0879216
Sromutka|0557412|0557398
Stanisławów|0298956|0298896
Stara Dąbrowa|0709939|0710109
Stare Mierzwice|0019146|0019100
Stare Mierzwice|0019130|0019100
Straż|0040650|0040643
Suchawa|0110906|0110852
Syski|0554193|0554187
Szklary Dolne|0363240|0363234
Tadzin|0725826|0725810
Targówek|0919720|0988827
Tarnów Opolski|0504031|0504025
Templewo|0178650|0178637
Trebień|0668519|0668502
Tuchowicz|0689786|0689763
Turkowice|0905267|0905250
Turze Rogi|0680160|0680153
Ulów|0226661|0226572
Uniejowice|0368450|0368444
Ursus|1061251|0918784
Ursynów|0918560|0988833
Wawer|0919186|0988840
Wesoła|1061268|0921728
Widowo|0023969|0023952
Wilanów|0918583|0988856
Witkowice|0732329|0732275
Wojbórz|0853100|0853091
Wola|0920031|0919884
Wola Rudlicka|0709218|0709201
Wola Smolana|0008438|0008421
Wrzosów|0379123|0379100
Wygoda|0857670|0857663
Wysoka|0182886|0182870
Wólka Bałtowska|0226603|0226589
Wólka Pętkowska|0226655|0226610
Wólka Tarnowska|0109688|0109659
Włochy|0918809|0988862
Zabuże|0019169|0019123
Zagaj|0565914|0565890
Zalesie|1065869|0517230
Zaolszynie|0693351|0693316
Zawarża|0263870|0263811
Zembry|0693405|0693368
Zwiastowice|0999021|0494054
Zwierzyniec|0183704|0183710
Zwierzyniec|0097695|0097650
Łagowiec|0188127|0188110
Śródmieście|0919878|0919810
Świecko|0187228|0187211
Świerszczów|0102210|0102189
Świny|0544131|0544119
Żeromin|0554365|0554342
Żoliborz|0920232|0920048
Żółwin|0184342|0184336
